Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2xxwbRnR2M3t3CmVIfgJxG,"Ballade pour Adeline","Amore","André Rieu;Johann Strauss Orchestra;Stéphanie Detry",2017-11-17,175266,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:31:50Z,"古典,管弦乐","Polydor",0.22,0.392,0,-11.163,1,0.0341,0.599,0.405,0.144,0.0755,129.617,3
spotify:track:0AGGZbrHCYKv2QP6e00Al8,"Ballade in G Minor, Op. 24","Ballades In Classical Music","Edvard Grieg;John Fraser;Leif Ove Andsnes",2021-01-30,1160280,0,false,31ceqkk2uqh34ud7f4wad5w5rey4,2021-02-01T14:32:07Z,"古典,古典钢琴,印象主义音乐,室内音乐","Warner Music Group - X5 Music Group",0.377,0.0382,7,-26.235,0,0.0439,0.99,0.871,0.0649,0.0392,111.258,4
